,breed,summary,image,conservation_status,kingdom,phylum,order,family,binomial_name
160,Long-billed curlew,"The long-billed curlew (Numenius americanus) is a large North American shorebird of the family Scolopacidae. This species was also called ""sicklebird"" and the ""candlestick bird"". The species breeds in central and western North America, migrating southward and coastward for the winter.",https://upload.wikimedia.org/wikipedia/commons/a/a0/Long-billed_curlew_at_Drakes_Beach%2C_Point_Reyes.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Numenius americanus
161,Far Eastern curlew,"The Far Eastern curlew (Numenius madagascariensis) is a large shorebird most similar in appearance to the long-billed curlew, but slightly larger. It is mostly brown in color, differentiated from other curlews by its plain, unpatterned brown underwing. It is not only the largest curlew but probably the world's largest sandpiper, at 60–66 cm (24–26 in) in length and 110 cm (43 in) across the wings. The body is reportedly 565–1,150 g (1.246–2.535 lb), which may be equaled by the Eurasian curlew. The extremely long bill, at 12.8–20.1 cm (5.0–7.9 in) in length, rivals the bill size of the closely related long-billed curlew as the longest bill for a sandpiper.

The Far Eastern curlew spends its breeding season in northeastern Asia, including Siberia to  Kamchatka, and Mongolia. Its breeding habitat is composed of marshy and swampy wetlands and lakeshores. Most individuals winter in coastal Australia, with a few heading to South Korea, Thailand, Philippines and New Zealand, where they stay at estuaries, beaches, and salt marshes. During its migration the Far Eastern curlew commonly passes the Yellow Sea.
It uses its long, decurved bill to probe for invertebrates in the mud. It may feed in solitary but it generally congregates in large flocks to migrate or roost. Its call is a sharp, clear whistle, cuuue-reee, often repeated.
As of 2006, there are an estimated 38,000 individuals in the world. Formerly classified as least concern by IUCN, it was found to have been rarer than previously believed and thus its status was updated to Vulnerable in the 2010 IUCN red list of threatened species.In Australia its status under the EPBC Act is Critically Endangered.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Far_Eastern_Curlew_cairns_RWD2.jpg,Endangered,Animalia,Chordata,Charadriiformes,Scolopacidae,Numenius madagascariensis
162,Slender-billed curlew,"The slender-billed curlew (Numenius tenuirostris) is a bird in the wader family Scolopacidae. It breeds in marshes and peat bogs in the taiga of Siberia, and is migratory, formerly wintering in shallow freshwater habitats around the Mediterranean. This species has occurred as a vagrant in western Europe, the Canary Islands, the Azores, Oman, Canada and Japan.",https://upload.wikimedia.org/wikipedia/commons/d/db/Naturalis_Biodiversity_Center_-_ZMA.AVES.1670_-_Numenius_tenuirostris_Vieillot%2C_1817_-_Scolopacidae_-_skin_specimen.jpeg,Critically Endangered,Animalia,Chordata,Charadriiformes,Scolopacidae,Numenius tenuirostris
163,Eurasian curlew,"The Eurasian curlew or common curlew (Numenius arquata) is a wader in the large family Scolopacidae. It is one of the most widespread of the curlews, breeding across temperate Europe and Asia. In Europe, this species is often referred to just as the ""curlew"", and in Scotland known as the ""whaup"" in Scots.
This is the largest wader in its range, at 50–60 cm (20–24 in) in length, with an 89–106 cm (35–42 in) wingspan and a body weight of 410–1,360 g (0.90–3.00 lb). It is mainly greyish brown, with a white back, greyish-blue legs and a very long curved bill. Males and females look identical, but the bill is longest in the adult female. It is generally not possible to recognize the sex of a single Eurasian curlew, or even several ones, as there is much variation; telling male and female of a mated pair apart is usually possible however.
The familiar call is a loud curloo-oo.
The only similar species over most of the curlew's range is the whimbrel (N. phaeopus). The whimbrel is smaller and has a shorter bill with a kink rather than a smooth curve. Flying curlews may also resemble bar-tailed godwits (Limosa lapponica) in their winter plumages; however, the latter have a smaller body, a slightly upturned beak, and legs that do not reach far beyond their tail tips. The Eurasian curlew's feet are longer, forming a conspicuous ""point"".
The curlew exists as a migratory species over most of its range, wintering in Africa, southern Europe and south Asia. Occasionally a vagrant individual reaches places far from its normal range, such as Nova Scotia and the Marianas. It is present all year in the milder climates of Ireland and the United Kingdom and its adjacent European coasts.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Eurasian_Curlew.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Numenius arquata
164,Bar-tailed godwit,"The bar-tailed godwit (Limosa lapponica) is a large wader in the family Scolopacidae. The genus name Limosa is from Latin and means ""muddy"", from limus, ""mud"". The specific  lapponica refers to Lapland. The English term ""godwit"" was first recorded in about 1416–7 and is believed to imitate the bird's call.The bar-tailed godwit breeds on Arctic coasts and tundra mainly in the Old World, and winters on coasts in temperate and tropical regions of the Old World and of Australia and New Zealand. Its migration includes the longest known non-stop flight of any bird and also the longest journey without pausing to feed by any animal.The global population is estimated to number 1,099,000–1,149,000 individuals.

",https://upload.wikimedia.org/wikipedia/commons/c/ca/Bar-tailed_Godwit.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Limosa lapponica
165,Black-tailed godwit,"The black-tailed godwit (Limosa limosa) is a large, long-legged, long-billed shorebird first described by Carl Linnaeus in 1758. It is a member of the godwit genus, Limosa. There are three subspecies, all with orange head, neck and chest in breeding plumage and dull grey-brown winter coloration, and distinctive black and white wingbar at all times.
Its breeding range stretches from Iceland through Europe and areas of central Asia. Black-tailed godwits spend (the northern hemisphere) winter in areas as diverse as the Indian Subcontinent, Australia, New Zealand, western Europe and west Africa. The species breeds in fens, lake edges, damp meadows, moorlands and bogs and uses estuaries, swamps and floods in (the northern hemisphere) winter; it is more likely to be found inland and on freshwater than the similar bar-tailed godwit. The world population is estimated to be 634,000 to 805,000 birds and is classified as Near Threatened. The black-tailed godwit is the national bird of the Netherlands",https://upload.wikimedia.org/wikipedia/commons/4/40/Black-tailed_Godwit_Uferschnepfe.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Limosa limosa
166,Hudsonian godwit,"The Hudsonian godwit (Limosa haemastica) is a large shorebird in the sandpiper family, Scolopacidae. The genus name Limosa is from Latin and means ""muddy"", from limus, ""mud"". The specific haemastica is from Ancient Greek and means ""bloody"". An 18th century name for this bird was red-breasted godwit. The English term ""godwit"" was first recorded in about 1416–7 and is believed to imitate the bird's call.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Limosa_haemastica_-Rio_Grande%2C_Rio_Gande_do_Sul%2C_Brazil-8.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Limosa haemastica
167,Marbled godwit,"The marbled godwit (Limosa fedoa) is a large shorebird. On average, it is the largest of the 4 species of godwit. The total length is 40–50 cm (16–20 in), including a large bill of 8–13 cm (3.1–5.1 in), and wingspan is 70–88 cm (28–35 in). Body mass can vary from 240 to 510 g (8.5 to 18.0 oz).Adults have long blue-grey hairy legs and a very long pink bill with a slight upward curve and dark at the tip. The long neck, breast and belly are pale brown with dark bars on the breast and flanks. The back is mottled and dark. They show cinnamon wing linings in flight.
Their breeding habitat is the northern prairies of western Canada-(Canadian Prairies), and the north central Great Plains, United States near marshes or ponds. They nest on the ground, usually in short grass.
In autumn, they migrate in flocks to the coasts of California, the Gulf of Mexico, Mexico and South America.
These birds forage by probing on mudflats, in marshes, or at the beach (see picture below). When the tide is out, they eat. In short grass, they may pick up insects by sight. They mainly eat insects and crustaceans, but also eat parts of aquatic plants.
When the tide is in, they roost. They often sleep by standing on one leg and tucking their bill into their body (see picture below).Their numbers were reduced by hunting at the end of the 19th century. Although they had recovered somewhat since that time, their population has declined in recent times as suitable habitat is used for farming.",https://upload.wikimedia.org/wikipedia/commons/9/9b/MarbledGodwit.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Limosa fedoa
168,Ruddy turnstone,"The ruddy turnstone (Arenaria interpres) is a small wading bird, one of two species of turnstone in the genus Arenaria. The scientific name is from Latin. The genus name arenaria derives from arenarius, ""inhabiting sand, from arena, ""sand"". The specific interpres means ""messenger""; when visiting Gotland in 1741, Linnaeus thought that the Swedish word Tolk ""interpreter"" applied to this species, but in the local dialect the word means ""legs"" and is used for the redshank.It is now classified in the sandpiper family Scolopacidae but was formerly sometimes placed in the plover family Charadriidae. It is a highly migratory bird, breeding in northern parts of Eurasia and North America and flying south to winter on coastlines almost worldwide. It is the only species of turnstone in much of its range and is often known simply as turnstone.",https://upload.wikimedia.org/wikipedia/commons/e/e9/Arenaria_interpres_%28habitus%29.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Arenaria (bird) interpres
169,Black turnstone,"The black turnstone (Arenaria melanocephala) is a species of small wading bird. It is one of two species of turnstone in the genus Arenaria the ruddy turnstone (A. interpres) being the other. It is now classified in the sandpiper family, Scolopacidae, but was formerly sometimes placed in the plover family, Charadriidae. It is native to the west coast of North America and breeds only in Alaska.",https://upload.wikimedia.org/wikipedia/commons/0/0f/Black_Turnstone%2C_breeding_plumage_%282112366200%29.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Arenaria (bird) melanocephala
170,Great knot,"The great knot (Calidris tenuirostris) is a small wader. It is the largest of the calidrid species. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific  tenuirostris  is from Latin tenuis ""slender"" and rostrum ""bill"".",https://upload.wikimedia.org/wikipedia/commons/2/27/Calidris_tenuirostris_-_Laem_Phak_Bia.jpg,Endangered,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris tenuirostris
171,Red knot,"The red knot (Calidris canutus) (just knot in English-speaking Europe) is a medium-sized shorebird which breeds in tundra and the Arctic Cordillera in the far north of Canada, Europe, and Russia. It is a large member of the Calidris sandpipers, second only to the great knot. Six subspecies are recognised.
Their diet varies according to season; arthropods and larvae are the preferred food items at the breeding grounds, while various hard-shelled molluscs are consumed at other feeding sites at other times. North American breeders migrate to coastal areas in Europe and South America, while the Eurasian populations winter in Africa, Papua New Guinea, Australia, and New Zealand. This species forms enormous flocks when not breeding.",https://upload.wikimedia.org/wikipedia/commons/9/94/Red-Knot-for-Wiki.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris canutus
172,Surfbird,"The surfbird (Calidris virgata) is a small stocky wader in the family Scolopacidae. It was once considered to be allied to the turnstones, and placed in the monotypic genus Aphriza, but is now placed in the genus Calidris.
This bird has a short dark bill, yellow legs and a black band at the end of the white rump. In breeding plumage, it has dark streaks on the brownish head and breast with dark spots on its white underparts; the upperparts are dark with rust colouring on the wings. Birds in winter plumage and immature birds are mainly grey on the upperparts and breast and white on the underparts with streaking.
Their breeding habitat is rocky tundra areas in Alaska and the Yukon. The female lays 4 eggs in a depression on the ground lined with vegetation. Both parents look after the young birds, who feed themselves.
These birds migrate to the Pacific coasts of North and South America, from southern Alaska to Tierra del Fuego.
On the nesting grounds, these birds mainly eat insects and some seeds. At other times of year, they eat mollusks and crustaceans found along the surf line on rocky coasts and are usually found in small flocks, often with turnstones.
The song is a whistled tee tee tee.

",https://upload.wikimedia.org/wikipedia/commons/f/f5/Aphriza_virgata_Cayucos_2.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris virgata
173,Ruff,"The ruff (Calidris pugnax) is a medium-sized wading bird that breeds in marshes and wet meadows across northern Eurasia. This highly gregarious sandpiper is migratory and sometimes forms huge flocks in its winter grounds, which include southern and western Europe, Africa, southern Asia and Australia.
The ruff is a long-necked, pot-bellied bird. This species shows marked sexual dimorphism; the male is much larger than the female (the reeve), and has a breeding plumage that includes brightly coloured head tufts, bare orange facial skin, extensive black on the breast, and the large collar of ornamental feathers that inspired this bird's English name. The female and the non-breeding male have grey-brown upperparts and mainly white underparts. Three differently plumaged types of male, including a rare form that mimics the female, use a variety of strategies to obtain mating opportunities at a lek, and the colourful head and neck feathers are erected as part of the elaborate main courting display. The female has one brood per year and lays four eggs in a well-hidden ground nest, incubating the eggs and rearing the chicks, which are mobile soon after hatching, on her own. Predators of wader chicks and eggs include mammals such as foxes, feral cats and stoats, and birds such as large gulls, corvids and skuas.
The ruff forages in wet grassland and soft mud, probing or searching by sight for edible items. It primarily feeds on insects, especially in the breeding season, but it will consume plant material, including rice and maize, on migration and in winter. Classified as ""least concern"" on the IUCN Red List criteria, the global conservation concerns are relatively low because of the large numbers that breed in Scandinavia and the Arctic. However, the range in much of Europe is contracting because of land drainage, increased fertiliser use, the loss of mown or grazed breeding sites, and over-hunting. This decline has seen it listed in the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA).

",https://upload.wikimedia.org/wikipedia/commons/5/5f/Philomachus_pugnax_-Diergaarde_Blijdorp-8c.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris pugnax
174,Broad-billed sandpiper,"The broad-billed sandpiper (Calidris falcinellus) is a small wading bird. The scientific name is from Latin. The specific name  falcinella is from falx, falcis, ""a  sickle. Some research suggests that it should rather go into the genus Philomachus.

",https://upload.wikimedia.org/wikipedia/commons/f/fb/Broad_billed_sandpiper_by_Sreedev_Puthur.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris falcinellus
175,Sharp-tailed sandpiper,The sharp-tailed sandpiper (Calidris acuminata) (but see below) is a small wader.,https://upload.wikimedia.org/wikipedia/commons/9/94/Calidris_acuminata_-_Hexham_Swamp.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris acuminata
176,Stilt sandpiper,"The stilt sandpiper (Calidris himantopus or Micropalama himantopus) is a small shorebird. The scientific name is from Ancient Greek. The genus name kalidris or skalidris is a term used by Aristotle for some grey-coloured waterside birds. The specific himantopus means ""strap foot"" or ""thong foot"".This sandpiper bears some resemblance to the smaller calidrid sandpipers or ""stints"". DNA sequence information is incapable of determining whether it should be placed in Calidris or in the monotypic genus Micropalama. It appears most closely allied with the curlew sandpiper, which is another aberrant species only tentatively placed in Calidris and could conceivably be separated with it in Erolia.
The stilt sandpiper breeds in the open arctic tundra of North America. It is a long-distance migrant, wintering mainly in northern South America. It occurs as a rare vagrant in western Europe, Japan and northern Australia.This species nests on the ground, laying three or four eggs. The male has a display flight. Outside the breeding season, this bird is normally found on inland waters, rather than open coasts.
This species resembles the curlew sandpiper in its curved bill, long neck, pale supercilium and white rump. It is readily distinguished from that species by its much longer and paler legs, which give rise to its common and scientific names. It also lacks an obvious wing bar in flight.
Breeding adults are distinctive, heavily barred beneath, and with reddish patches above and below the supercilium. The back is brown with darker feather centres. Winter plumage is basically gray above and white below.
Juvenile stilt sandpipers resemble the adults in their strong head pattern and brownish back, but they are not barred below, and show white fringes on the back feathering.
These birds forage on muddy, picking up food by sight, often jabbing like the dowitchers with which they often associate. They mainly eat insects and other invertebrates.",https://upload.wikimedia.org/wikipedia/commons/7/75/Calidris_himantopus.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris himantopus
177,Curlew sandpiper,"The curlew sandpiper (Calidris ferruginea) is a small wader that breeds on the tundra of Arctic Siberia. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific ferruginea is from Latin ferrugo, ferruginis, ""iron rust"" referring to its colour in breeding plumage.It is strongly migratory, wintering mainly in Africa, but also in south and southeast Asia and in Australia and New Zealand. It is a vagrant to North America.",https://upload.wikimedia.org/wikipedia/commons/c/cc/Calidris_ferruginea%2C_winter_adult%2C_Pak_Thale.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris ferruginea
178,Temminck's stint,"Temminck's stint (Calidris temminckii) is a small wader. This bird's common name and Latin binomial commemorate the Dutch naturalist Coenraad Jacob Temminck. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds.Temminck's stint is one of the species to which the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA) applies.",https://upload.wikimedia.org/wikipedia/commons/6/6b/Temmincks_Stint.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris temminckii
179,Spoon-billed sandpiper,"The spoon-billed sandpiper (Calidris pygmaea) is a small wader which breeds in north-eastern Russia and winters in Southeast Asia. This species is highly threatened, and it is said that since the 1970s the breeding population has decreased significantly. By 2000 the estimated breeding population of the species was 350-500.

",https://upload.wikimedia.org/wikipedia/commons/0/09/Eurynorhynchus_pygmeus_2_-_Pak_Thale.jpg,Critically Endangered,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris pygmaea
180,Red-necked stint,"The red-necked stint (Calidris ruficollis) is a small migratory wader. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific ruficollis is from Latin rufus, ""red"" and collum, ""neck"".",https://upload.wikimedia.org/wikipedia/commons/6/6e/Calidris_ruficollis_-_Marion_Bay.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris ruficollis
181,Sanderling,"The sanderling (Calidris alba) is a small wading bird. The name derives from Old English sand-yrðling, ""sand-ploughman"". The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific alba is Latin for ""white"".It is a circumpolar Arctic breeder, and is a long-distance migrant, wintering south to South America, South Europe, Africa, and Australia. It is highly gregarious in winter, sometimes forming large flocks on coastal mudflats or sandy beaches.
It is somewhat unlike other sandpipers in appearance, which has led to the suggestion that it should be placed into a monotypic genus Crocethia. A more recent review (Thomas et al., 2004) indicates, however, that the sanderling is a fairly typical ""stint"" or small sandpiper and should be separated from the large knots with its closest relatives in a distinct genus.
This bird is similar in size to a dunlin, but stouter, with a thick bill. It shows a strong white wingbar in flight, and runs along the sandy beaches it prefers with a characteristic ""bicycling"" action of its legs, stopping frequently to pick small food items. It eats small crabs and other small invertebrates. In spring, birds migrating north from South America consume large numbers of horseshoe crab eggs in the Delaware Bay area.
In spring, the birds arrive on the High Arctic breeding grounds (see map), where they lay 3–4 eggs in a ground scrape. On the nesting grounds, these birds mainly eat insects and some plant material.
The sanderling was described by the German naturalist Peter Simon Pallas in 1764 and given the binomial name Trynga alba.The sanderling is one of the species to which the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA) applies.",https://upload.wikimedia.org/wikipedia/commons/7/73/Calidris_alba_-_Laem_Phak_Bia.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris alba
182,Dunlin,"The dunlin (Calidris alpina) is a small wader, sometimes separated with the other ""stints"" in Erolia. The English name is a dialect form of ""dunling"", first recorded in 1531–2. It derives from dun, ""dull brown"", with the suffix -ling, meaning a person or thing with the given quality. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific alpina  is from Latin and means ""of high mountains"", in this case referring to the Alps.It is a circumpolar breeder in Arctic or subarctic regions. Birds that breed in northern Europe and Asia are long-distance migrants, wintering south to Africa, southeast Asia and the Middle East. Birds that breed in Alaska and the Canadian Arctic migrate short distances to the Pacific and Atlantic coasts of North America, although those nesting in northern Alaska overwinter in Asia. Many dunlins winter along the Iberian south coast.",https://upload.wikimedia.org/wikipedia/commons/f/fe/Dunlin_%28Calidris_alpina%29_juvenile.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris alpina
183,Rock sandpiper,The rock sandpiper (Calidris or Erolia ptilocnemis) is a small shorebird.,https://upload.wikimedia.org/wikipedia/commons/b/bf/Calidris_ptilocnemis1.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris ptilocnemis
184,Purple sandpiper,"The purple sandpiper (Calidris maritima) is a small shorebird. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific maritima is from Latin and means ""of the sea"", from mare, ""sea"".",https://upload.wikimedia.org/wikipedia/commons/5/53/Calidris_maritima.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris maritima
185,Baird's sandpiper,"The Baird's sandpiper (Calidris bairdii) is a small shorebird. It is among those calidrids which were formerly included in the genus Erolia, which was subsumed into the genus Calidris in 1973. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The English name and specific bairdii commemorate Spencer Fullerton Baird, 19th-century naturalist and assistant secretary of the Smithsonian Institution.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris bairdii
186,Little stint,"The little stint (Calidris minuta) (or Erolia minuta), is a very small wader. It breeds in arctic Europe and Asia, and is a long-distance migrant, wintering south to Africa and south Asia. It occasionally is a vagrant to North America and to Australia. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific minuta is Latin for ""small.",https://upload.wikimedia.org/wikipedia/commons/c/ce/Little_Stint_%28Calidris_minuta%29_%281%29.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris minuta
187,Least sandpiper,"The least sandpiper (Calidris minutilla) is the smallest shorebird. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific minutilla is Medieval Latin for ""very small"".",https://upload.wikimedia.org/wikipedia/commons/1/18/Least_Sandpiper.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris minutilla
188,White-rumped sandpiper,"The white-rumped sandpiper (Calidris fuscicollis) is a small shorebird that breeds in the northern tundra of Canada and Alaska. This bird can be difficult to distinguish from other similar tiny shorebirds; these are known collectively as ""peeps"" or ""stints"".
These birds are not often spotted. In the summer, they are rarely seen because they are in such an obscure breeding location. Similarly, in the winter they are rarely seen because they travel too far south for many birdwatchers. Therefore, the majority of sightings occur during the spring or fall in temperate regions and are generally in small numbers around water.",https://upload.wikimedia.org/wikipedia/commons/7/7b/Calidris_fuscicollis_PLAYERO_RABADILLA_BLANCA.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris fuscicollis
189,Buff-breasted sandpiper,"The buff-breasted sandpiper (Calidris subruficollis) is a small shorebird. The species name subruficollis is from Latin subrufus, ""reddish"" (from sub, ""somewhat"", and rufus, ""rufous"") and collis, ""-necked/-throated"" (from collum, ""neck""). It is a calidrid sandpiper.",https://upload.wikimedia.org/wikipedia/commons/b/b4/Tryngites_subruficollis_-USA-8.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris subruficollis
190,Pectoral sandpiper,"The pectoral sandpiper (Calidris melanotos) is a small, migratory wader that breeds in North America and Asia, wintering in South America and Oceania. It eats small invertebrates. Its nest, a hole scraped in the ground and with a thick lining, is deep enough to protect its four eggs from the cool breezes of its breeding grounds. The pectoral sandpiper is 21 cm (8.3 in) long, with a wingspan of 46 cm (18 in).",https://upload.wikimedia.org/wikipedia/commons/9/96/Pectoral_Sandpiper3.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris melanotos
191,Semipalmated sandpiper,"The semipalmated sandpiper (Calidris pusilla) is a very small shorebird. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific pusilla is Latin for ""very small"".It is sometimes separated with other ""stints"" in Erolia, but, although these apparently form a monophyletic group, the present species' old genus Ereunetes had been proposed before Erolia.",https://upload.wikimedia.org/wikipedia/commons/0/00/Calidris-pusilla-001.jpg,Near Threatened,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris pusilla
192,Western sandpiper,"The western sandpiper (Calidris mauri) is a small shorebird. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific mauri commemorates Italian botanist Ernesto Mauri (1791–1836).Adults have dark legs and a short, thin, dark bill, thinner at the tip. The body is brown on top and white underneath. They are reddish-brown on the crown. This bird can be difficult to distinguish from other similar tiny shorebirds, especially the semipalmated sandpiper. This is particularly the case in winter plumage, when both species are plain gray. The western sandpiper acquires winter plumage much earlier in the autumn than the semipalmated sandpiper.
Their breeding habitat is tundra in eastern Siberia and Alaska.  They nest on the ground usually under some vegetation. The male makes several scrapes; the female selects one and lays 4 eggs. Both parents incubate and care for dependent young, who feed themselves. Sometimes the female deserts her mate and brood prior to offspring fledging.
They migrate to both coasts of North America and South America. It is a very rare vagrant to western Europe.
These birds forage on mudflats during migration and the non-breeding season by probing or picking up food by sight. Foraging occurs on tundra and wet meadows during the breeding season. They mainly eat insects, small crustaceans, and mollusks.
This is one of the most abundant shorebird species in North America with a population in the millions.",https://upload.wikimedia.org/wikipedia/commons/5/51/Western_Sandpiper.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Calidris mauri
193,Short-billed dowitcher,"The short-billed dowitcher (Limnodromus griseus), like its congener the long-billed dowitcher, is a medium-sized, stocky, long-billed shorebird in the family Scolopacidae. The genus name Limnodromus is  Ancient Greek  from limne, ""marsh"" and dromos, ""racer"". The specific griseus is Medieval Latin for ""grey"". The English name is from Iroquois and was first recorded in 1841.It is an inhabitant of North America, Central America, and northern South America. It is strongly migratory; it completely vacates in breeding areas during the snow-bound months. This species favors a variety of habitats including tundra in the north to ponds and mudflats in the south. It feeds on invertebrates often by rapidly probing its bill into mud in a sewing machine fashion. It and the very similar long-billed dowitcher were considered one species until 1950. Field identification of the two American Limnodromus remains difficult today. Distinguishing wintering or juvenile short-billed dowitchers from the long-billed species is very difficult and, even given examination their subtlety different body shapes, cannot always be isolated to a particular species. They differ most substantially in vocalizations. The names of American dowitchers are misleading, as there is much overlap in their bill lengths. Only a small percentage can be identified by this character alone.",https://upload.wikimedia.org/wikipedia/commons/1/16/Limnodromus_griseus.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Limnodromus griseus
194,Long-billed dowitcher,"The long-billed dowitcher (Limnodromus scolopaceus) is a medium-sized shorebird. The genus name Limnodromus is  Ancient Greek  from limne, ""marsh"" and dromos, ""racer"". The specific  scolopaceus is New Latin for ""snipe-like"", from Latin scolopax, scolopacis, a snipe or woodcock. The English name is from Iroquois and was first recorded in 1841.Adults have yellowish legs and a long straight dark bill. The body is dark brown on top and reddish underneath with spotted throat and breast, bars on flanks. The tail has a black and white barred pattern. The winter plumage of both an adult and a juvenile is largely grey.
Their breeding habitat is wet tundra in the far north of North America and eastern Siberia. They nest on the ground, usually near water.
They migrate to the southern United States and as far south as Central America. Long-billed dowitcher is a rare but regular visitor to western Europe, with some individuals staying for long periods.
These birds forage by probing in shallow water or on wet mud. They mainly eat insects, mollusks, crustaceans and marine worms, but also eat some plant material.
They are more likely to be seen near fresh water than the short-billed dowitcher.",https://upload.wikimedia.org/wikipedia/commons/9/92/Limnodromus_scolopaceus_Mike_Baird_crop.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Limnodromus scolopaceus
195,Jack snipe,"The jack snipe/jacksnipe (Lymnocryptes minimus) is a small stocky wader. It is the smallest snipe, and the only member of the genus Lymnocryptes. Features such as its sternum make it quite distinct from other snipes or woodcocks.",https://upload.wikimedia.org/wikipedia/commons/6/61/Lymnocryptes_minimus_%28Marek_Szczepanek%29.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Lymnocryptes minimus
196,Eurasian woodcock,"The Eurasian woodcock (Scolopax rusticola) is a medium-small wading bird found in temperate and subarctic Eurasia. It has cryptic camouflage to suit its woodland habitat, with reddish-brown upperparts and buff-coloured underparts. Its eyes are set far back on its head to give it 360-degree vision and it probes in the ground for food with its long, sensitive bill, making it vulnerable to cold weather when the ground remains frozen.
The male performs a courtship flight known as 'roding' at dusk in spring. When threatened, the female can carry chicks between her legs, in her claws or on her back while flying, though this is rarely witnessed. The world population is estimated to be 14 million to 16 million birds.",https://upload.wikimedia.org/wikipedia/commons/1/1c/Woodcock_earthworm.jpg,Least Concern,Animalia,Chordata,Charadriiformes,Scolopacidae,Scolopax rusticola
