,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
101,Braque Francais,"The Braques français are hunting dogs, from a very old type of gun dog used for pointing the location of game birds for a hunter. There are two breeds of Braque français, both from the south of France,  the Braque français, type Gascogne  (French Pointing Dog - Gascogne type, larger size) and the Braque français, type Pyrénées (French Pointing Dog - Pyrenean type, smaller size) They are popular hunting dogs in France, but are seldom seen elsewhere.",https://upload.wikimedia.org/wikipedia/commons/8/8a/Wy%C5%BCe%C5%82_Gasko%C5%84ski.jpg,"French Pointing Dog - Gascogne Type; <br> Braque Francais, de Grande Taille",,France,,{{convert|58|-|69|cm|in|0|abbr|=|on}},"Thick and well furnished, finer on the head and ears.",,
102,Braque Saint-Germain,"The Braque Saint-Germain (FCI No. 115) (translated into English as the St. Germain Pointing Dog) is a medium-large breed of dog, a versatile hunter used for hunting as a gun dog and pointer as well as for hunting other small game. Braque is a term meaning pointing dogs. The breed was created around 1830 by crossing English and French pointing type dogs.

",https://upload.wikimedia.org/wikipedia/commons/5/54/Braque_saint-germain_666.jpg,Saint Germain Pointer,,France,,{{convert|56|-|62|cm|in|0|abbr|=|on}},"Short, not too fine.",,
103,Briard,"The Briard  is an ancient breed of large herding dog, originally from France. A Briard-like dog appears in the illustrations in illuminated copies of Gaston Febus' Livre de chasse (""Book of the Hunt""), written in the late 14th century. The breed became popular after the Paris dog show of 1863, after having been fixed with crosses with the Beauceron and the Barbet. During the First World War, the Briard was used, almost to the point of extinction, by the French army as a sentry and messenger, and to search for wounded soldiers. The Briard's modern-day roles  include police, military, and search-and-rescue work, as well as companion dog.",https://upload.wikimedia.org/wikipedia/commons/6/60/Briard_fauve.JPG,Berger de Brie <br/> Berger Briard,,France,{{convert|30|-|40|kg|abbr|=|on}},{{convert|61|-|69|cm|abbr|=|on}},Long and slightly wavy.,"Uniform black, fawn, grey or blue.",10-12 years
104,Briquet Griffon Vendéen,"A Briquet Griffon Vendéen is a breed of hunting dog originating in France.  Prior to the first World War it was bred down in size by the Comte d’Elva from the Grand Griffon Vendéen. The Briquet Griffon Vendéen was almost extinct after World War II, but thanks to the effort of Hubert Dezamy, a French dog show judge, the breed was restored.

",https://upload.wikimedia.org/wikipedia/commons/7/77/Briquet_Griffon_Vendeen.jpg,Medium Vendéen Griffon,,France,,{{convert|50|-|55|cm|in|0|abbr|=|on}},Long,"White and black, white and orange, black and tan, tricolor",
105,Brittany dog,"The Brittany is a breed of gun dog bred primarily for bird hunting.  Although it is often referred to as a spaniel, the breed's working characteristics are more akin to those of a pointer or setter. Brittanys were developed in the Brittany, a disputed province in northwest France, between the 17th and 19th centuries, becoming officially recognized early in the 20th.",https://upload.wikimedia.org/wikipedia/commons/f/fe/American_Brittany_standing.jpg,Brittany Spaniel<br />Brittany Wiegref<br />'' {{lang|fr|Epagneul Breton}} ''<br />French Brittany,,"[[Brittany]], [[France]]",{{convert|30|-|45|lb|kg|abbr|=|on}},,"Medium length, flowing","Orange and white, liver and white, black and white (not universally accepted), tricolor, orange roan, liver roan, black roan",12-16 years
106,Broholmer,"The Broholmer, also called the Danish Mastiff, is a large Molosser breed of dog from Denmark, recognized by the Danish Kennel Club and the Fédération Cynologique Internationale.  It has been employed as a guard dog in the homes of the wealthy. The breed's numbers dwindled severely during World War II, but the dog made a successful return in the 1970s.",https://upload.wikimedia.org/wikipedia/commons/5/52/Male_Broholmer.jpg,{{ubl|Danish Broholmer|Danish Mastiff}},,[[Denmark]],{{convert|65|-|90|kg|lb|abbr|=|on}},{{convert|75|cm|in|abbr|=|on}},Short with thick undercoat,Yellow with black mask; golden red; black,10-13 years
107,Bruno Jura Hound,"The Bruno Jura hound is a domestic dog, developed in the Middle Ages for hunting in the Jura Mountains on the Swiss-French border.They are found in a variety of colors and have a broad head and heavy wrinkles, which differentiate them from the other Swiss hounds. It is known for hunting fox, hare, and sometimes even small deer. The Bruno Jura Hound is a skilled scent follower and is capable of following the slightest trace of a scent over the rough terrain of the Jura mountains. It needs firm handling if kept solely for companionship.
Its size is similar to that of the Schweizer Laufhund, but it differs in the broadness of its head. It is related to the Bloodhound. The life expectancy of Bruno Jura hound is 12–13 years. An adult hound can weigh anywhere from 34 to 44 pounds (15.5–20 kg) and is from usually 17 to 23 inches (43–58 cm) tall.
Also called the Jura Laufhund, this dog is an excellent hunter of fox, hare, and small deer. Closely related to the St. Hubert Jura Hound, its head resembles the neighboring French hounds form which it descends. Not common as a companion, the Bruno Jura Hound needs specialized training if it is to be kept for this purpose. Coming in a variety of colors, the Jura Hound was developed in the Jura Mountains in the Swiss-French border. Its rich coloring, broad head, and heavy wrinkles differentiate this dog from other mountain hounds.",https://upload.wikimedia.org/wikipedia/commons/5/57/09057110_Jura_Laufhund.jpg,Jura Laufhund,,Switzerland,{{convert|34|-|44|lb|kg|abbr|=|on}},{{convert|17|-|23|in|cm|abbr|=|on}},,,12-13 years
108,Griffon Bruxellois,"The Griffon Bruxellois or  Brussels Griffon is a breed of toy dog, named for their city of origin: Brussels, Belgium. The Griffon Bruxellois may refer to three different breeds, the Griffon Bruxellois, the Griffon Belge and the Petit Brabançon. Identical in standard except for coat and colour differences, in some standards they are considered varieties of the same breed, much like Belgian Shepherd Dogs.

",https://upload.wikimedia.org/wikipedia/commons/2/23/Monkey_Bizniz_Drama_Queen.jpg,Brussels Griffon<br>Belgium Griffon<br>Petit Brabançon<br>Griffon Belge<br>Brabançon Griffon,Griffon<br>Griff<br>Bruss,[[Belgium]],,,,,
109,Bucovina Shepherd Dog,"The Bucovina Shepherd (Câine Ciobănesc de Bucovina) is one of the largest and most powerful rustic livestock guardian dogs and has strong  watch dog qualities.  It was developed over many centuries by shepherds in the Carpathian Mountains. The race was developed in Bucovina, a region in the north of Romania.
There are three types of Romanian shepherd dogs: the Mioritic (old name Barac), the Carpatin (old name Zăvod) and the Bucovina Shepherd. In the FCI, this particular breed is known as the Southeastern European Shepherd.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Bucovina_Sheepdog.jpg,Bucovina Sheepdog <br> Bucovina Shepherd <br> Southeastern European Shepherd,,South-Eastern Europe,{{convert|50|-|90|kg|lb|abbr|=|on}},{{convert|68|-|78|cm|in|0|abbr|=|on}},see below,"Clear white or white-beige with distinct patches of grey, black or black with red-fawn reflections.",
110,Bull and Terrier,"The Bull and Terrier is an extinct type of dog that was the progenitor of the Bull Terrier, Miniature Bull Terrier, Staffordshire Bull Terrier, American Pit Bull Terrier and American Staffordshire Terrier.  The Bull and Terrier was a cross between the Old English Bulldog and a variety of Old English Terriers.

",https://upload.wikimedia.org/wikipedia/commons/c/c6/Terrier1802.jpg,"Half-and-half <br />Bull & terrier <br /> Fighting bull terrier<br />""Bull-terrier"" <br />''Canis Pugilis''",,[[United Kingdom|Britain]],,,,,
111,Bull Terrier,The Bull Terrier is a breed of dog in the terrier family. There is also a miniature version of this breed which is officially known as the Miniature Bull Terrier.,https://upload.wikimedia.org/wikipedia/commons/6/62/Bull_terrier_2.jpg,"{{plainlist|
*English Bull Terrier
*Bully
*Wedge Head
*Varkhond|Citation needed|reason|=|Please add citation re this 'name' for Bull Terrier|date|=|June 2019|}} {{Citation needed|reason|=|Please add citation re this 'name' for Bull Terrier|date|=|June 2019}}",,[[England]],{{convert|55|-|65|lb|kg|abbr|=|on}},{{convert|18|-|22|in|cm|abbr|=|on}},"Short, dense",,10–14 years
112,Bulldog,"The  Bulldog, also known as the British Bulldog or English Bulldog, is a medium-sized breed of dog. It is a muscular, hefty dog with a wrinkled face and a distinctive pushed-in nose. The American Kennel Club (US), The Kennel Club (UK), and the United Kennel Club (US) oversee breeding records. Bulldogs are popular pets; they were the fourth most popular purebreed in the US in 2016 according to the American Kennel Club.Bulldogs have a longstanding association with English culture, as the BBC wrote: ""to many the Bulldog is a national icon, symbolising pluck and determination."" During World War II, Bulldogs were often likened to Prime Minister Winston Churchill and his defiance of Nazi Germany.  When the English settled in the Americas, their Bulldogs came with them. A few dedicated bulldog fanciers formed the Bulldog Club of America in 1890 and it was incorporated under the laws of the State of New York on November 29, 1904.

",https://upload.wikimedia.org/wikipedia/commons/1/11/Bulldog_adult_male.jpg,"English Bulldog,<br/>British Bulldog",,[[England]],{{convert|50|-|55|lb|kg|0|abbr|=|on}},1-2 feet,"Short, straight, fine and smooth",,8–12 years
113,Bullenbeisser,"The Bullenbeisser, also known as the German Bulldog, was a breed of dog known for its strength and agility. The breed was closely related to the Bärenbeisser (some believe that the two breeds were one and the same; the names mean ""Bull-biter"" and ""Bear-biter"", respectively), and was an ancestor to the modern Boxer. It was, in all its aspects, similar to the present Alano Español (Spanish Bulldog) and very alike to the Dogo Argentino, not only in aspect, but also in usage. There were two regional varieties, the Brabanter Bullenbeisser and the Danziger Bullenbeisser. The breed is now extinct.",https://upload.wikimedia.org/wikipedia/commons/5/55/Bullenbeiser.jpg,,,[[Germany]],,,,,
114,Bullmastiff,"The Bullmastiff is a large-sized breed of domestic dog, with a solid build and a short muzzle. The Bullmastiff shares the characteristics of molosser dogs, and was originally developed by 19th-century gamekeepers to guard estates. The breed's bloodlines are drawn from the English Mastiff and the  extinct Old English Bulldog. It was recognized as a purebred dog by the English Kennel Club in 1924.",https://upload.wikimedia.org/wikipedia/commons/6/6d/Bullmastiff_edited.JPG,,,[[United Kingdom]],{{convert|110|-|130|lb|kg|abbr|=|on}},{{convert|25|-|27|in|cm|abbr|=|on}},Short and weather resistant,{{hlist|Any shade of brindle|red|fawn}},8-10 years
115,Bully Kutta,"The Bully Kutta, also known as, Indian Mastiff or Pakistani Mastiff is a type of large-sized working dog that originated in the Indian subcontinent, dating back to the 16th century. The Bully Kutta is a working dog used for hunting and guarding. The dog breed is popular in the Punjab region of India and Pakistan, including Haryana and Delhi.",https://upload.wikimedia.org/wikipedia/commons/c/c3/PakistaniMastiffPunjab.jpg,Alangu Mastiff <br>Indian Mastiff <br>Pakistani Mastiff <br>Sindh Mastiff <br>Indian Bully <br>Pakistani Bully,,"[[Pakistan]], [[India]]",70–90 kg,76–86 cm,Short,"Brindle, Brown, White, Piebald, Black",6-8 Years
116,Burgos Pointer,"The Burgos Pointer (Spanish: Perdiguero de Burgos), also called the Burgalese Pointer, is a breed of dog native to Spain. Originating from Castile, especially in the  province of Burgos, this hardy breed is used for hunting and has some outstanding features for small game.

",https://upload.wikimedia.org/wikipedia/commons/2/28/Burgos_Pointer_or_Perdiguero_de_Burgos.JPG,Perdiguero de Burgos<br>Burgalese Pointer,,[[Castile and León]] ([[Spain]]),{{convert|25|to|30|kg|lb|abbr|=|on}},{{convert|62|to|67|cm|in|abbr|=|on}},"Short, Bushy and Smooth",Brown/combined with brown/spottled,
117,Cairn Terrier,"The Cairn Terrier is one of the oldest terrier breeds, originating in the Scottish Highlands and recognized as one of Scotland's earliest working dogs. The breed was given the name Cairn, because the breed's function was to hunt and chase quarry between the cairns in the Scottish highlands.Although the breed had existed long before, the name 'Cairn Terrier' was a compromise suggestion after the breed was originally brought to official shows in the United Kingdom in 1909 under the name Short-haired Skye terriers. This name was not acceptable to The Kennel Club due to opposition from Skye Terrier breeders, and the name 'Cairn Terrier' was suggested as an alternative. They are usually left-pawed, which has been shown in dogs to correlate to superior performance in tasks related to scent. Cairn terriers are ratters.

",https://upload.wikimedia.org/wikipedia/commons/b/b0/Cairn-Terrier-Garten1.jpg,,,[[Scotland]],{{convert|10|-|16|lb|kg|abbr|=|on}},{{convert|9|-|13|in|cm|abbr|=|on}},"Abundant shaggy outer coat, soft downy undercoat. Can be cream, deep red, brindle, light gray, apricot or black.",,12-17 years
118,Campeiro Bulldog,"The Campeiro Bulldog (Portuguese: Buldogue campeiro, Portuguese pronunciation: [buwdɔɣˈ ˌkanˈpeiɾɔ]) is a dog breed developed in southern Brazil. It is believed to be a descended of the Old English Bulldog introduced to Brazil by Europeans and is closely related to the Serrano Bulldog.",https://upload.wikimedia.org/wikipedia/commons/2/23/Buldogue_%28Bulldog%29_Campeiro.JPG,"{{flat list|
* Buldogue campeiro}}","{{flatlist|
* Brazilian Bulldog
* Countryside Bulldog
* Pampas Bulldog}}",[[Brazil]],{{nowrap|convert|35|–|45|kg|abbr|=|on}} {{convert|35|–|45|kg|abbr|=|on}},{{convert|48|–|58|cm|abbr|=|on}},,,10 {{ndash}} 12 years
119,Canaan Dog,"The Canaan Dog, also known as the Palestinian Pariah dog and the Bedouin Sheepdog, is a breed of pariah dog, which has been in existence in the Middle East for thousands of years. There are 2,000 to 3,000 Canaan dogs across the world, mostly in Europe and North America.

",https://upload.wikimedia.org/wikipedia/commons/f/fe/CanaanDogChakede.jpg,,,Ancient [[Canaan]],{{convert|18|-|25|kg|lb|abbr|=|on}},{{convert|50|-|60|cm|in|abbr|=|on}},,,
120,Canadian Eskimo Dog,"The Canadian Eskimo Dog is an Arctic breed of working dog. Other names include qimmiq or qimmit (Inuit language word for ""dog""). They were brought from Siberia to North America by the Thule people 1,000 years ago, along with the Greenland Dog that is genetically identical.
The breed is currently threatened with extinction, with a 2008 estimate of only 300 purebred dogs. Although once used as the preferred method of transportation by Inuit in the Canadian Arctic, by the 1960s traditional working dog teams became increasingly rare in the North. Contributing factors to the breed's decline include the increasing popularity of snowmobiles for transportation and the spread of infectious canine diseases. Controversy surrounds the intentional killings of a debated number of Inuit sled dogs between 1950 and 1970 by the Royal Canadian Mounted Police, as well as recent efforts to increase the breed's population.

",https://upload.wikimedia.org/wikipedia/commons/7/79/Spoonsced.jpg,"{{flatlist|
*Qimmiq
* Canadian Husky
* Canadian Inuit Dog
*C. familiaris borealis
*Exquimaux Husky
*Kingmik
*Chien Esquimau Canadien
*Kanadischer Eskimohund
*Perro Esquimal Canadiense}}",,[[Canada]],{{Convert|30|-|40|kg|abbr|=|on}},{{Convert|58|-|70|cm|abbr|=|on}},"thick and dense, soft undercoat, stiff guard hairs, mane of thicker fur around the neck",,
121,Cane Corso,"The Cane Corso (pronounced kah-neh kor-so [ˈkaːne ˈkɔrso] from Italian cane (dog) and ""corso"" meaning ""course"" (i.e. ""coursing dog""), is a large Italian breed of dog highly valued in Italy as a companion and guard dog.",https://upload.wikimedia.org/wikipedia/commons/3/37/CaneCorso_%2823%29.jpg,"{{flatlist|
* Cane Corso Italiano
* Italian Corso Dog 
* Italian Mastiff}}",,[[Italy]],{{convert|45–50|kg|lb|abbr|=|on}},,,,
122,Cantabrian Water Dog,"The Cantabrian Water Dog (Spanish: perro de agua cantábrico) is a landrace breed of dog developed in the coast of Cantabria, northern Spain, as an assistant to fishermen. The breed was classified and recognized by the Breeds Committee of the Spanish Ministry of Environment on 22 March 2011.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,'' {{lang|es|Perro de agua cantábrico}} ''<br />'' {{lang|es|Perro de lanas}} ''<br />'' {{lang|es|Merlucero}} '',"CWD, PAC","[[Cantabria]], [[Spain]]",,,,,
123,Cão da Serra de Aires,"The Cão da Serra de Aires (FCI no. 93) is a medium-sized breed of dog of the herding dog type, and is one of the indigenous regional dogs of Portugal. Called the Portuguese Sheepdog in English, the original name refers to the Serra de Aires, a mountain near Monforte in the Alentejo region, often mistaken with the ""Serra d'Aire"" a range of hills or mountains marking the boundary between Ribatejo and Oeste, north of the Tagus river. The breed is nicknamed the ""cão macaco"" (monkey dog, referring to the macaque or monkey) for its furry face and lively attitude.",https://upload.wikimedia.org/wikipedia/commons/4/49/Cao_de_Serra_de_Aires600.jpg,,cão macaco (monkey dog or macaque dog),{{flagicon|POR}} [[Portugal]],,,,,
124,Cão de Castro Laboreiro,"The Cão de Castro Laboreiro, or Dog from Castro Laboreiro, or Portuguese Cattle Dog or Portuguese Watch Dog, is a dog breed of the livestock guardian dog type, originating from Castro Laboreiro in the northern mountains of Portugal.

",https://upload.wikimedia.org/wikipedia/commons/5/5e/Cao_de_Castro_Laboreiro_Ruede.jpg,"Dog of Castro Laboreiro, <br>Portuguese Cattle Dog, <br>Portuguese Watchdog",,Portugal,,,,,
125,Cão de Gado Transmontano,"The Cão de Gado Transmontano (Portuguese pronunciation: [ˈkɐ̃w̃ dɨ ˈɣaðu tɾɐ̃ʒmõˈtɐnu]; English: Transmontano Mastiff or Transmontano Cattle Dog) is a rare molosser working giant dog breed, originating in and largely limited to the region of Trás-os-Montes e Alto Douro Province, Portugal.  Their primary function is flock and herd protection, and their success is interlinked to the welfare of the flock and the presence of wolves, particularly.  Although they are a regional breed, their wolf defense capacity has led to limited experimental importation elsewhere.

",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Transmontano Mastiff<br>Transmontano Cattle Dog,,Portugal,,,,,
126,Cão Fila de São Miguel,"The Cão Fila de São Miguel (Portuguese: [ˈkɐ̃w̃ ˈfilɐ dɨ ˈsɐ̃w̃ miˈɡɛɫ]; translated literally as: Catch Dog of São Miguel Island) is a dog breed of molosser type originating on São Miguel Island in the Azores, an island chain which is one of the autonomous regions of Portugal. The breed was originally used for working with cattle.",https://upload.wikimedia.org/wikipedia/commons/6/6b/Rzesz%C3%B3w_C%C3%A3o_Fila_de_S%C3%A3o_Miguel_3pl.jpg,"São Miguel Cattle Dog,<br>São Miguel Catch Dog<br>Saint Miguel Cattle Dog,<br>Azores Cattle Dog,<br>Azores Cow Dog",,"[[São Miguel Island]], [[Portugal]]",,,,,
127,Carolina Dog,"The Carolina dog, also known as a yellow dog, yaller dog, American Dingo, or Dixie Dingo, is a breed of medium-sized, feral dog that lives mostly in the Southeastern United States, especially in isolated stretches of longleaf pines and cypress swamps. Rehoming of Carolina dogs has recently become popular, and they can make good domestic pets with proper socialization.  Since 2008, artificial selection efforts to establish them as a standardized breed (usually capitalized as Carolina Dog) has made some progress, with recognition in two smaller national kennel clubs, and acceptance into the breed-establishment program of a major one.
Originally a landrace breed, the Carolina dog was rediscovered living as free-roaming population by I. Lehr Brisbin Jr., though originally documented in American dog-related publications in the 1920s. Carolina dogs show admixture with other dog breeds from Eurasia.

",https://upload.wikimedia.org/wikipedia/commons/6/64/Dakota%2C_the_Dixie_Dingo_%28or_Carolina_Dog%29.jpg,,,[[United States|US]],{{convert|30|-|44|lb|kg|abbr|=|on}},{{convert|17.75|-|19.75|in|cm|abbr|=|on}},,,
128,Carpathian Shepherd Dog,The Carpathian Shepherd Dog (Ciobănesc Românesc Carpatin) is a breed of large sheep dogs that originated in the Carpathian Mountains of Romania.,https://upload.wikimedia.org/wikipedia/commons/4/41/Carpatin.jpg,"''Ciobănesc Românesc Carpatin'', Romanian Shepherd, Romanian Carpathian Shepherd, ''Câine Ciobănesc Carpatin'', Carpathian Sheepdog, ''Carpathian Shepherd'', Carpatin, Romanian Carpatin Herder",,[[Romania]],{{convert|35|-|50|kg|lb|abbr|=|on}},{{convert|65|to|73|cm|in}},"Rough, abundant and straight",,12–14 years
129,Catalan Sheepdog,"The  Catalan sheepdog (Catalan: Gos d'atura català, Spanish: Pastor catalán) is a breed of Catalan Pyrenean dog used as a sheepdog. This dog is bred in Europe, especially in Spain, Finland, Germany, and Sweden.

",https://upload.wikimedia.org/wikipedia/commons/e/e6/Gos-d%27Atura-Catala.jpg,Gos d'Atura Català<br>Catalan shepherd <br>Catalan sheepdog,,[[Catalonia]] ([[Spain]])<br />[[Andorra]],,,,,
130,Caucasian Shepherd Dog,"The Caucasian Shepherd Dog (Georgian: კავკასიური ნაგაზი; Russian: Кавказская овчарка, romanized: Kavkazskaya ovčarka; Azerbaijani: Qafqaz Çoban iti;) is a large guard dog breed from the Caucasus Mountains, commonly bred in the mountainous regions of Georgia, Azerbaijan, Armenia, and Northern Caucasian countries.",https://upload.wikimedia.org/wikipedia/commons/9/9a/Owczarek_kaukaski_65.jpg,Caucasian Mountain Dog<br />Nagazi<br>Caucasian Mastiff,,,{{convert|50-100|kg|lb|abbr|=|on|-1}},{{convert|72|-|90|cm|in|0|abbr|=|on}},"Straight, coarse, stand-off coat with well developed undercoat.",,10-12 years
131,Cavalier King Charles Spaniel,"The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club, that originated in the United Kingdom. Since 2000, it has grown in popularity in the United States and ranks as the 19th most popular pure-breed in the United States.   It has a silky, smooth coat and commonly a smooth undocked tail. The breed standard recognises four colours: Blenheim (chestnut and white), Tricolour (black/white/tan), Black and Tan, and Ruby. The breed is generally friendly, affectionate and good with both children and other animals; however,  they require a lot of human interaction. Since they are family dogs, it is recommended to not leave one alone for long periods at a time. The expected average lifespan of a Cavalier King Charles Spaniel is under ten years.The Cavalier King Charles changed dramatically in the late 17th century, when it was interbred with flat-nosed breeds. Until the 1920s, the Cavalier shared the same history as the smaller King Charles Spaniel. Breeders attempted to recreate what they considered to be the original configuration of the breed, a dog resembling Charles II's King Charles Spaniel of the Restoration. Various health issues affect this particular breed.",https://upload.wikimedia.org/wikipedia/commons/5/5f/CarterBIS.Tiki.13.6.09.jpg,,,United Kingdom,{{convert|13|-|18|lb|kg|abbr|=|on}},{{convert|12|-|13|in|cm}},,,
132,Celtic Hounds,"The Celtic hounds were a breed of dogs in Gaelic Ireland described in Irish legend. They may have corresponded to the Greyhound, Scottish Deerhound, Irish Wolfhound, or ancestors of all of these breeds.
Celtic hounds can be found in Celtic jewelry designs and paintings as far back as the 17th century. Celtic hounds symbolize hunting, healing, and the Otherworld in Celtic legends. Hounds were the traditional guardian animals of roads and crossways and are believed to protect and guide lost souls in the Otherworld.The Irish word cú (pronounced [kuː]) for ""hound"" derives from the Primitive Irish cuna, which is from Proto-Celtic *kū (""dog"", ""wolf""), which in turn derives from Proto-Indo-European *ḱwṓ, ""dog.""",https://upload.wikimedia.org/wikipedia/commons/e/e2/Hilton_of_cadboll_stone_Andrew_Gibb_1856.jpg,Irish Greyhound<br>Scottish Rough Hound,,Ireland/United Kingdom,,,,,
133,Central Asian Shepherd Dog,"The Central Asian Shepherd Dog is an ancient livestock guardian dog breed from the Central Asia region. Traditionally, the breed was used for guarding sheep and goat herds, as well as to protect and for guard duty.
It is a large breed of dog recognized by FCI as a Molossoid type dog breed of Soviet-era origin under Russian patronage. Numerous breed representatives reside in Russia, and local kennel club officials refer to Central Asians as one of the most popular dog breeds in the country, rating them as the #1 breed in the country around 2000.",https://upload.wikimedia.org/wikipedia/commons/1/12/2.CAO_in_Hungary.jpg,Alabai <br> Central Asian Ovtcharka <br> CAO <br> Aziat<br>Central Asian Mastiff <br>Ovcharka,,Afghanistan<br />Kazakhstan<br />Turkmenistan<br />Uzbekistan<br />Kyrgyzstan<br />Russia,{{convert|60|-|100|kg|abbr|=|on}},{{convert|70|-|95|cm |abbr|=|on}},Both short and long haired,White<br />black<br />grey<br />russet<br />straw<br />grey/brown<br />brindle<br />flecked.,12-15 years
134,Cesky Fousek,"The Český Fousek is a Czech breed of versatile gun dog. They are wirehaired, and have the beard and moustache (""facial furnishings"") common to the wirehaired breeds. There is a dramatic difference in size between the females and males of this breed.

The Český Fousek written standards were first established in the nineteenth century. The breed nearly became extinct in the 1920s, and was saved by breeding with Stichelhaars.
The Český Fousek was used in the creation of the foundation stock of the Slovak Rough-haired Pointer.

",https://upload.wikimedia.org/wikipedia/commons/5/5c/Czeski_fousek_777.jpg,Bohemian Wire-haired Pointing Griffon<br>Rough-coated Bohemian Pointer<br>Barbu tchèque,,[[Czech Republic]],,,,,
135,Cesky Terrier,"The Cesky Terrier ( CHES-kee; Czech: Český teriér, lit. 'Bohemian Terrier' or 'Czech Terrier') is a small terrier type dog originating in  Czechoslovakia.",https://upload.wikimedia.org/wikipedia/commons/9/9a/Terier_czeski_suka_2009_pl2.jpg,Český Teriér<br>Bohemian Terrier,,[[Czech Republic]],,,,,
136,Chesapeake Bay Retriever,"The Chesapeake Bay Retriever is a large-sized breed of dog belonging to the Retriever, Gundog, and Sporting breed groups.  Members of the breed may also be referred to as a Chessie, CBR, or Chesapeake. The breed was developed in the United States Chesapeake Bay area during the 19th century. Historically used by area market hunters to retrieve waterfowl, pull fishing nets, and rescue fishermen, it is primarily a family pet and hunting companion. They are often known for their love of water and their ability to hunt.  It is a medium to large sized dog similar in appearance to the Labrador Retriever. The Chesapeake has a wavy coat, rather than the Labrador's smooth coat. They are described as having a bright and happy disposition, courage, willingness to work, alertness, intelligence, and love of water as some of their characteristics.

",https://upload.wikimedia.org/wikipedia/commons/9/97/CH_Chesapeake.jpg,,"Chessie, CBR, Chesapeake",United States of America,{{convert|75|to|100|lb|kg|abbr|=|on}},{{convert|24|to|26|in|cm|abbr|=|on}},A defining characteristic of the breed is the texture of the double-coat,"Any colour of brown, sedge, or deadgrass with limited white spots",10 to 13 years
137,Chien Français Blanc et Noir,"The Chien Français Blanc et Noir (FCI No.220) translated into English as the French White and Black Hound, is a breed of dog of the scenthound type, originating in France. The breed is used for hunting in packs and descends from the old Hound of Saintonge type of large hunting dog.",https://upload.wikimedia.org/wikipedia/commons/4/45/Fran%C3%A7ais_noir_et_blanc.JPG,,,France,,,,,
138,Chien Français Blanc et Orange,"The Chien Français Blanc et Orange (FCI No.316) is a breed of dog of the scenthound type, originating in France. The breed is used for hunting in packs and descends from the old Hound of Saintonge type of large hunting dog.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,France,,,,,
139,Chien Français Tricolore,"The Chien Français Tricolore (FCI No.219) translated into English as the French Tricolour Hound, is a breed of dog of the scenthound type, originating in France. The breed is used for hunting in packs.

",https://upload.wikimedia.org/wikipedia/commons/4/4a/MeuteBourbansais.jpg,,,France,,,,,
140,Chien-gris,"The Chien-gris a.k.a. Gris de Saint-Louis (Grey St. Louis Hound) was a breed of dog, now extinct, which originated in Medieval times. Like the Chien de Saint-Hubert it was a scenthound, and formed part of the royal packs of France, which were composed, from about 1250 till 1470, exclusively of hounds of this type. According to King Charles IX, (1550–1574) they supposedly were introduced to France through Saint Louis (i.e. King Louis IX, 1226–1270), who had encountered these hounds while a prisoner during the Crusades, and subsequently received some as a gift. Old writers on hunting liked to ascribe an ancient and remote origin to their hounds, and these were claimed to be originally from Tartary. 
They were large, and, even though they did not have such good noses, were preferred by the Kings to the St Huberts, which were said to be only of medium size.
Jacques du Fouilloux, in the 16th century, says they were common, and describes them as 'gris' (grey) on the back with forequarters and legs tan or red, some having near black hair on the back. They were roughhaired, and were ancestors of the  modern French rough-coated Griffon breeds. However the rough coats were not mentioned by Charles IX or du Fouilloux, and it has been suggested they were acquired later through interbreeding with indigenous French hounds.  They were headstrong, wide casting hounds, inclined to change or overshoot, but determined in their pursuit of a quarry to the death. However, by the nineteenth century, like the St Hubert, they had become virtually impossible to find, because of mixed breeding and the effect of the Revolution on French hunting.George Turberville   translated du Fouilloux' book on hunting into English, and used the term 'Dun hound' to translate 'Chien-gris'. We may presume he did not translate it literally as 'grey-hound' to avoid confusion. One finds the term 'dun-hound' in some subsequent writing in English, suggesting that the kind also existed in Britain, and it has been supposed that these 'dun-hounds' went into the make up of the Bloodhound, accounting for the 'badgering' of the hair in the saddles of some bloodhounds.  However, Turberville did not make it very clear that his book was a translation, and it is highly possible that people mistakenly believed his work was about English hunting. Early references to the dun-hound may simply come from people relying, like Nicolas Cox, on Turberville, [1] and it is quite possible that the dun hound was never a significant animal in British hunting.",https://upload.wikimedia.org/wikipedia/commons/7/71/Gris_De_Saint-Louis_from_1915.JPG,"Gris de Saint-Louis (''Grey St Louis Hound''), dun hound",,France,,,,,
